Category,Topic,Indicator,Year,Sex,Result,95% CI (L),95% CI (U),Unit,SE,Region
Mental health,Self-rated mental health,1. Excellent/very good,2018,Female,53.6,48.9,58.2,Per cent,2.4,1
Mental health,Self-rated mental health,1. Excellent/very good,2018,Female,73.8,61.9,83,Per cent,5.4,1
Mental health,Self-rated mental health,1. Excellent/very good,2018,Male,58.5,53.3,63.6,Per cent,2.6,1
Mental health,Self-rated mental health,1. Excellent/very good,2018,Male,71.7,61.9,79.8,Per cent,4.6,1
Mental health,Self-rated mental health,1. Excellent/very good,2018,Person,39.2,26.8,53.2,Per cent,6.8,1
Mental health,Self-rated mental health,1. Excellent/very good,2018,Person,55.2,49.7,60.5,Per cent,2.8,1
Mental health,Self-rated mental health,1. Excellent/very good,2018,Person,56,52.5,59.5,Per cent,1.8,1
Mental health,Self-rated mental health,1. Excellent/very good,2018,Person,59,53.7,64.2,Per cent,2.7,1
Mental health,Self-rated mental health,1. Excellent/very good,2018,Person,66.7,60.1,72.6,Per cent,3.2,1
Mental health,Self-rated mental health,1. Excellent/very good,2018,Person,72.7,65.3,79.1,Per cent,3.5,1
Mental health,Self-rated mental health,1. Excellent/very good,2019,Female,49.8,46,53.7,Per cent,2,1
Mental health,Self-rated mental health,1. Excellent/very good,2019,Male,57.4,52.9,61.8,Per cent,2.3,1
Mental health,Self-rated mental health,1. Excellent/very good,2019,Person,40.4,29,53,Per cent,6.2,1
Mental health,Self-rated mental health,1. Excellent/very good,2019,Person,50,45,55,Per cent,2.6,1
Mental health,Self-rated mental health,1. Excellent/very good,2019,Person,53.4,50.4,56.3,Per cent,1.5,1
Mental health,Self-rated mental health,1. Excellent/very good,2019,Person,57.2,53,61.2,Per cent,2.1,1
Mental health,Self-rated mental health,1. Excellent/very good,2019,Person,64.6,59.7,69.2,Per cent,2.4,1
Mental health,Self-rated mental health,1. Excellent/very good,2020,Female,48.1,42.8,53.3,Per cent,2.7,1
Mental health,Self-rated mental health,1. Excellent/very good,2020,Female,72.5,67.2,77.2,Per cent,2.5,1
Mental health,Self-rated mental health,1. Excellent/very good,2020,Male,56.2,50.6,61.6,Per cent,2.8,1
