Category,Topic,Indicator,Year,Sex,Result,95% CI (L),95% CI (U),Unit,SE,Region
Alcohol,Alcohol consumption,Drank >10 drinks past week,2020,Female,11.6,8.8,15.2,Per cent,1.6,1
Alcohol,Alcohol consumption,Drank >10 drinks past week,2020,Male,20.1,16.2,24.7,Per cent,2.2,1
Alcohol,Alcohol consumption,Drank >10 drinks past week,2020,Person,16.1,13.6,19.0,Per cent,1.4,1
Alcohol,Alcohol consumption,Drank >4 drinks on 1 occasion,2018,Female,16.6,13.3,20.5,Per cent,1.8,1
Alcohol,Alcohol consumption,Drank >4 drinks on 1 occasion,2018,Male,31.0,26.4,36.0,Per cent,2.4,1
Alcohol,Alcohol consumption,Drank >4 drinks on 1 occasion,2018,Person,10.9,7.8,15.0,Per cent,1.8,1
Alcohol,Alcohol consumption,Drank >4 drinks on 1 occasion,2018,Person,23.7,20.8,26.9,Per cent,1.5,1
Alcohol,Alcohol consumption,Drank >4 drinks on 1 occasion,2018,Person,23.9,19.6,28.9,Per cent,2.4,1
Alcohol,Alcohol consumption,Drank >4 drinks on 1 occasion,2018,Person,24.1,14.0,38.4,Per cent,6.3,1
Alcohol,Alcohol consumption,Drank >4 drinks on 1 occasion,2018,Person,28.5,23.9,33.7,Per cent,2.5,1
Alcohol,Alcohol consumption,Drank >4 drinks on 1 occasion,2019,Female,31.7,27.5,36.2,Per cent,2.2,1
Alcohol,Alcohol consumption,Drank >4 drinks on 1 occasion,2019,Male,47.9,43.1,52.8,Per cent,2.5,1
Alcohol,Alcohol consumption,Drank >4 drinks on 1 occasion,2019,Person,15.7,12.3,19.7,Per cent,1.9,1
Alcohol,Alcohol consumption,Drank >4 drinks on 1 occasion,2019,Person,38.7,34.3,43.3,Per cent,2.3,1
Alcohol,Alcohol consumption,Drank >4 drinks on 1 occasion,2019,Person,40.0,36.7,43.3,Per cent,1.7,1
Alcohol,Alcohol consumption,Drank >4 drinks on 1 occasion,2019,Person,41.7,36.1,47.4,Per cent,2.9,1
