Year,Region,Category,Topic,Indicator,Age,Sex,Result,Unit,95% CI (L),95% CI (U),SE,RSE > 25%,Notes,Sex_indicator,Year_Sex,Sex_Year
2018,ACT,Mental health,Self-rated mental health,1. Excellent/very good,05 to 17,Person,72.7,Per cent,65.3,79.1,3.5,,,Person _ 1. Excellent/very good,2018 Person,Person 2018
2020,ACT,Mental health,Self-rated mental health,1. Excellent/very good,05 to 17,Person,71.4,Per cent,67.7,74.9,1.8,,,Person _ 1. Excellent/very good,2020 Person,Person 2020
2018,ACT,Mental health,Self-rated mental health,2. Good,05 to 17,Person,21.1,Per cent,15.2,28.6,3.4,,,Person _ 2. Good,2018 Person,Person 2018
2020,ACT,Mental health,Self-rated mental health,2. Good,05 to 17,Person,20.8,Per cent,17.8,24.2,1.6,,,Person _ 2. Good,2020 Person,Person 2020
2018,ACT,Mental health,Self-rated mental health,3. Fair/poor,05 to 17,Person,6.2,Per cent,3.7,10.1,1.6,25.6,,Person _ 3. Fair/poor,2018 Person,Person 2018
2020,ACT,Mental health,Self-rated mental health,3. Fair/poor,05 to 17,Person,7.7,Per cent,5.9,10.1,1.1,,,Person _ 3. Fair/poor,2020 Person,Person 2020
2018,ACT,Mental health,Self-rated mental health,1. Excellent/very good,05 to 17,Male,71.7,Per cent,61.9,79.8,4.6,,,Male _ 1. Excellent/very good,2018 Male,Male 2018
2020,ACT,Mental health,Self-rated mental health,1. Excellent/very good,05 to 17,Male,70.6,Per cent,65.2,75.5,2.6,,,Male _ 1. Excellent/very good,2020 Male,Male 2020
2018,ACT,Mental health,Self-rated mental health,2. Good,05 to 17,Male,20.9,Per cent,13.6,30.6,4.3,,,Male _ 2. Good,2018 Male,Male 2018
2020,ACT,Mental health,Self-rated mental health,2. Good,05 to 17,Male,23.2,Per cent,18.8,28.3,2.4,,,Male _ 2. Good,2020 Male,Male 2020
2018,ACT,Mental health,Self-rated mental health,3. Fair/poor,05 to 17,Male,7.4,Per cent,4.1,13.1,2.2,29.4,,Male _ Fair/poor,2018 Male,Male 2018
2020,ACT,Mental health,Self-rated mental health,3. Fair/poor,05 to 17,Male,6.2,Per cent,4.2,9.2,1.3,,,Male _ Fair/poor,2020 Male,Male 2020
2018,ACT,Mental health,Self-rated mental health,1. Excellent/very good,05 to 17,Female,73.8,Per cent,61.9,83,5.4,,,Female _ 1. Excellent/very good,2018 Female,Female 2018
2020,ACT,Mental health,Self-rated mental health,1. Excellent/very good,05 to 17,Female,72.5,Per cent,67.2,77.2,2.5,,,Female _ 1. Excellent/very good,2020 Female,Female 2020
2018,ACT,Mental health,Self-rated mental health,2. Good,05 to 17,Female,21.3,Per cent,12.7,33.5,5.3,,,Female _ 2. Good,2018 Female,Female 2018
2020,ACT,Mental health,Self-rated mental health,2. Good,05 to 17,Female,18.4,Per cent,14.5,23.1,2.2,,,Female _ 2. Good,2020 Female,Female 2020
2018,ACT,Mental health,Self-rated mental health,3. Fair/poor,05 to 17,Female,4.9,Per cent,2,11.9,2.3,46,,Female _ 3. Fair/poor,2018 Female,Female 2018
2020,ACT,Mental health,Self-rated mental health,3. Fair/poor,05 to 17,Female,9.2,Per cent,6.3,13,1.7,,,Female _ 3. Fair/poor,2020 Female,Female 2020
2018,ACT,Mental health,Self-rated mental health,1. Excellent/very good,18+,Person,56,Per cent,52.5,59.5,1.8,,,Person _ 1. Excellent/very good,2018 Person,Person 2018
2019,ACT,Mental health,Self-rated mental health,1. Excellent/very good,18+,Person,53.4,Per cent,50.4,56.3,1.5,,,Person _ 1. Excellent/very good,2019 Person,Person 2019
