Year,Region,Category,Topic,Indicator,Age,Sex,Result,Unit,95% CI (L),95% CI (U),SE,RSE > 25%,Notes,Sex_indicator,Year_Sex,Sex_Year
2018,ACT,Mental health,Mental health conditions,Any mental health condition,05 to 17,Person,12.3,Per cent,8.8,16.8,2,,,Person _ Any mental health condition,2018 Person,Person 2018
2020,ACT,Mental health,Mental health conditions,Any mental health condition,05 to 17,Person,16.8,Per cent,14.1,19.9,1.5,,,Person _ Any mental health condition,2020 Person,Person 2020
2018,ACT,Mental health,Mental health conditions,Any mental health condition,05 to 17,Male,16.6,Per cent,11.2,23.8,3.2,,,Male _ Any mental health condition,2018 Male,Male 2018
2020,ACT,Mental health,Mental health conditions,Any mental health condition,05 to 17,Male,15.8,Per cent,12.2,20.2,2,,,Male _ Any mental health condition,2020 Male,Male 2020
2018,ACT,Mental health,Mental health conditions,Any mental health condition,05 to 17,Female,8.1,Per cent,4.4,14.4,2.5,30.6,,Female _ Any mental health condition,2018 Female,Female 2018
2020,ACT,Mental health,Mental health conditions,Any mental health condition,05 to 17,Female,17.4,Per cent,13.6,22,2.1,,,Female _ Any mental health condition,2020 Female,Female 2020
2018,ACT,Mental health,Mental health conditions,No mental health condition,05 to 17,Person,87.7,Per cent,83.1,91.1,2,,,Person _ No mental health condition,2018 Person,Person 2018
2020,ACT,Mental health,Mental health conditions,No mental health condition,05 to 17,Person,82.9,Per cent,79.8,85.7,1.5,,,Person _ No mental health condition,2020 Person,Person 2020
2018,ACT,Mental health,Mental health conditions,No mental health condition,05 to 17,Male,83.3,Per cent,76,88.7,3.2,,,Male _ No mental health condition,2018 Male,Male 2018
2020,ACT,Mental health,Mental health conditions,No mental health condition,05 to 17,Male,83.7,Per cent,79.3,87.4,2,,,Male _ No mental health condition,2020 Male,Male 2020
2018,ACT,Mental health,Mental health conditions,No mental health condition,05 to 17,Female,91.9,Per cent,85.6,95.6,2.5,,,Female _ No mental health condition,2018 Female,Female 2018
2020,ACT,Mental health,Mental health conditions,No mental health condition,05 to 17,Female,82.5,Per cent,77.9,86.3,2.1,,,Female _ No mental health condition,2020 Female,Female 2020
2011/12,ACT,Mental health,Mental health conditions,Any mental health condition,18+,Person,15.4,Per cent,13.4,17.5,1,,,Person _ Any mental health condition,2011/12 Person,Person 2011/12
2013/14,ACT,Mental health,Mental health conditions,Any mental health condition,18+,Person,17.3,Per cent,14.9,20,1.3,,,Person _ Any mental health condition,2013/14 Person,Person 2013/14
2015/16,ACT,Mental health,Mental health conditions,Any mental health condition,18+,Person,18.9,Per cent,16.3,21.9,1.4,,,Person _ Any mental health condition,2015/16 Person,Person 2015/16
