Year,Region,Category,Topic,Indicator,Age,Sex,Result,Unit,95% CI (L),95% CI (U),SE,RSE > 25%,Notes,Sex_indicator,Year_Sex,Sex_Year
2018,ACT,Physical activity,Self-rated physical activity,1. Very active,05 to 17,Person,49.2,Per cent,43,55.5,3.2,,,Person _ 1. Very active,2018 Person,Person 2018
2020,ACT,Physical activity,Self-rated physical activity,1. Very active,05 to 17,Person,36.8,Per cent,33.1,40.7,1.9,,,Person _ 1. Very active,2020 Person,Person 2020
2018,ACT,Physical activity,Self-rated physical activity,2. Active,05 to 17,Person,30.3,Per cent,24.8,36.4,3,,,Person _ 2. Active,2018 Person,Person 2018
2020,ACT,Physical activity,Self-rated physical activity,2. Active,05 to 17,Person,32.9,Per cent,28.9,37.1,2.1,,,Person _ 2. Active,2020 Person,Person 2020
2018,ACT,Physical activity,Self-rated physical activity,3. Moderately active,05 to 17,Person,16.2,Per cent,12.1,21.4,2.4,,,Person _ 3. Moderately active,2018 Person,Person 2018
2020,ACT,Physical activity,Self-rated physical activity,3. Moderately active,05 to 17,Person,23.6,Per cent,20.5,27.1,1.7,,,Person _ 3. Moderately active,2020 Person,Person 2020
2018,ACT,Physical activity,Self-rated physical activity,4. Not very active,05 to 17,Person,,Per cent,,,,,Not published,Person _ 4. Not very active,2018 Person,Person 2018
2020,ACT,Physical activity,Self-rated physical activity,4. Not very active,05 to 17,Person,,Per cent,,,,,Not published,Person _ 4. Not very active,2020 Person,Person 2020
2018,ACT,Physical activity,Self-rated physical activity,5. Not at all active,05 to 17,Person,,Per cent,,,,,Not published,Person _ 5. Not at all active,2018 Person,Person 2018
2020,ACT,Physical activity,Self-rated physical activity,5. Not at all active,05 to 17,Person,,Per cent,,,,,Not published,Person _ 5. Not at all active,2020 Person,Person 2020
2018,ACT,Physical activity,Self-rated physical activity,1. Very active,05 to 17,Male,56.1,Per cent,47.5,64.4,4.4,,,Male _ 1. Very active,2018 Male,Male 2018
2020,ACT,Physical activity,Self-rated physical activity,1. Very active,05 to 17,Male,40,Per cent,34.5,45.8,2.9,,,Male _ 1. Very active,2020 Male,Male 2020
2018,ACT,Physical activity,Self-rated physical activity,2. Active,05 to 17,Male,29.6,Per cent,22.1,38.4,4.2,,,Male _ 2. Active,2018 Male,Male 2018
2020,ACT,Physical activity,Self-rated physical activity,2. Active,05 to 17,Male,30.8,Per cent,24.8,37.5,3.2,,,Male _ 2. Active,2020 Male,Male 2020
2018,ACT,Physical activity,Self-rated physical activity,3. Moderately active,05 to 17,Male,11.1,Per cent,7.4,16.3,2.2,,,Male _ 3. Moderately active,2018 Male,Male 2018
2020,ACT,Physical activity,Self-rated physical activity,3. Moderately active,05 to 17,Male,21.8,Per cent,17.8,26.5,2.2,,,Male _ 3. Moderately active,2020 Male,Male 2020
2018,ACT,Physical activity,Self-rated physical activity,4. Not very active,05 to 17,Male,,Per cent,,,,,Not published,Male _ 4. Not very active,2018 Male,Male 2018
2020,ACT,Physical activity,Self-rated physical activity,4. Not very active,05 to 17,Male,,Per cent,,,,,Not published,Male _ 4. Not very active,2020 Male,Male 2020
2018,ACT,Physical activity,Self-rated physical activity,5. Not at all active,05 to 17,Male,,Per cent,,,,,Not published,Male _ 5. Not at all active,2018 Male,Male 2018
2020,ACT,Physical activity,Self-rated physical activity,5. Not at all active,05 to 17,Male,,Per cent,,,,,Not published,Male _ 5. Not at all active,2020 Male,Male 2020
2018,ACT,Physical activity,Self-rated physical activity,1. Very active,05 to 17,Female,41.7,Per cent,33.1,50.8,4.6,,,Female _ 1. Very active,2018 Female,Female 2018
2020,ACT,Physical activity,Self-rated physical activity,1. Very active,05 to 17,Female,33.7,Per cent,28.7,39,2.6,,,Female _ 1. Very active,2020 Female,Female 2020
2018,ACT,Physical activity,Self-rated physical activity,2. Active,05 to 17,Female,31,Per cent,23.3,39.9,4.2,,,Female _ 2. Active,2018 Female,Female 2018
2020,ACT,Physical activity,Self-rated physical activity,2. Active,05 to 17,Female,35.1,Per cent,30.1,40.5,2.7,,,Female _ 2. Active,2020 Female,Female 2020
2018,ACT,Physical activity,Self-rated physical activity,3. Moderately active,05 to 17,Female,21.9,Per cent,14.9,31.1,4.1,,,Female _ 3. Moderately active,2018 Female,Female 2018
2020,ACT,Physical activity,Self-rated physical activity,3. Moderately active,05 to 17,Female,25.4,Per cent,20.8,30.6,2.5,,,Female _ 3. Moderately active,2020 Female,Female 2020
2018,ACT,Physical activity,Self-rated physical activity,4. Not very active,05 to 17,Female,,Per cent,,,,,Not published,Female _ 4. Not very active,2018 Female,Female 2018
2020,ACT,Physical activity,Self-rated physical activity,4. Not very active,05 to 17,Female,,Per cent,,,,,Not published,Female _ 4. Not very active,2020 Female,Female 2020
